Name,RA_deg,Dec_deg,RA_hr,Ecliptic_lat
string,float,float,float,float
NGC 6791,290,38,19.3,59
NGC 2420,114.5,21.5,7.6,0
NGC 2506,120,-11,8,-9
Melotte 66,111.6,-47.7,7.4,-68
