Name,RA_deg,Dec_deg,RA_hr,Ecliptic_lat
string,float,float,float,float
NGC 188,12,85,0.8,65
NGC 2420,114.5,21.5,7.6,0
NGC 2632,129,19,8.6,0
M 67,133,12,8.9,-5
NGC 2506,120,-11,8,-9
Melotte 66,111.6,-47.7,7.4,-68
NGC 6811,294.3,46.4,19.6,66
